,address,city,accuracy,resultType,lat,lng,countryCode,stateCode,postalCode
0,"Delhi|Indian Oil, Pitampura, Delhi 110034, India",Delhi,100.0,locality,28.6959,77.13725,IND,DL,110034
1,"Delhi|Hindustan Petroleum, Mall Road, Block J, Shakurpur, Delhi 110034, India",Delhi,100.0,place,28.69189,77.14671,IND,DL,110034
2,"Delhi|Hindustan Petroleum, Mall Road, Block J, Shakurpur, Delhi 110034, India",Delhi,100.0,place,28.69189,77.14671,IND,DL,110034
3,"Delhi|Vidya Sagar Gas Agency, A-16, Pitampura Village, Pitampura, Delhi 110034, India",Delhi,100.0,place,28.7,77.12783,IND,DL,110034
4,"Delhi|Hindustan Petroleum, महाराजा अग्रसेन मार्ग, Poorvi Pitampura-Block KP, Pitampura, Delhi 110034, India",Delhi,98.57,place,28.70505,77.14088,IND,DL,110034
5,"Delhi|HP Petrol Pump, Netaji Subhash Place, Pitampura, Delhi 110034, India",Delhi,100.0,place,28.69636,77.1554,IND,DL,110034
6,"Delhi|Igl Indraprastha Gas Limited, Service Road, Block E, Shakurpur, Delhi 110034, India",Delhi,100.0,place,28.68474,77.14823,IND,DL,110034
7,"Delhi|Rohini Filling Station, Sector 8, Rohini, Delhi 110085, India",Delhi,100.0,locality,28.70255,77.12177,IND,DL,110085
8,"Delhi|Bharat Petroleum, A-2/484, Sector 8, Rohini, Delhi 110085, India",Delhi,100.0,houseNumber,28.70176,77.12137,IND,DL,110085
9,"Delhi|Hindustan Petroleum, Service Road, Wazirpur Indl Area, Delhi 110035, India",Delhi,100.0,place,28.69045,77.15361,IND,DL,110035
10,"Mumbai|CNG Station, Lal Bahadur Shastri Marg, Kismat Nagar, Kurla West, Mumbai 400070, India",Mumbai,100.0,place,19.07619,72.87751,IND,MH,400070
11,"Mumbai|Hindustan Petroleum, Juna Agra Road, Kurla West, Mumbai 400070, India",Mumbai,100.0,place,19.07821,72.87925,IND,MH,400070
12,"Mumbai|Madhav Indian Oil, Juna Agra Road, Kurla West, Mumbai 400070, India",Mumbai,100.0,place,19.07021,72.87527,IND,MH,400070
13,"Mumbai|Hindustan Petroleum, Lal Bahadur Shastri Marg, Kurla West, Mumbai 400070, India",Mumbai,100.0,place,19.0655,72.87472,IND,MH,400070
14,"Mumbai|Bharat Petroleum, Bandra Kurla Complex Road, Bandra East, Mumbai 400051, India",Mumbai,100.0,street,19.06188,72.86056,IND,MH,400051
15,"Mumbai|Hindustan Petroleum, Late Shree Poly Felix Britto Chowk, Old Kurla, Kurla West, Mumbai 400070, India",Mumbai,100.0,place,19.08474,72.88514,IND,MH,400070
16,"Mumbai|Bharat petrol pump, L. B. S. Marg, Kurla West, Mumbai 400070, India",Mumbai,100.0,place,19.08512,72.88656,IND,MH,400070
17,"Mumbai|Indian Oil BKC Pump, 609 Bandra Kurla Complex Road, Bandra Kurla Complex, Bandra East, Mumbai 400051, India",Mumbai,100.0,place,19.06707,72.86671,IND,MH,400051
18,"Mumbai|Laxmi Gas Service, S G Barve Marg, Nehru Nagar, Kurla East, Mumbai 400024, India",Mumbai,100.0,place,19.063,72.88271,IND,MH,400024
19,"Mumbai|Mahanagar Gas, Bandra Kurla Complex Road, Bandra Kurla Complex, Bandra East, Mumbai 400051, India",Mumbai,84.29,intersection,19.06514,72.86226,IND,MH,400051
20,"Pune|Mangala Petrol Pump, Shivaji Road, Juna Tofkhana, Shivaji Nagar, Pune 411005, India",Pune,100.0,place,18.52519,73.85353,IND,MH,411005
21,"Pune|HP Petrol Pump, Justice Ranade Path, Juna Tofkhana, Shivaji Nagar, Pune 411005, India",Pune,100.0,place,18.5261,73.8538,IND,MH,411005
22,"Pune|Bharat Petroleum Petrol Pump, Shivaji Nagar, Pune 411005, India",Pune,100.0,place,18.52666,73.85091,IND,MH,411005
23,"Pune|Quick Auto Works, Rasta Peth, Pune 411011, India",Pune,100.0,place,18.517,73.86517,IND,MH,411011
24,"Pune|Indian Oil, Mangalwar Peth, Pune 411011, India",Pune,100.0,place,18.52266,73.86665,IND,MH,411011
25,"Pune|Indian Oil, DR. Rajendra Prasad Road, Revenue Colony, Shivaji Nagar, Pune 411005, India",Pune,100.0,place,18.52813,73.85026,IND,MH,411005
26,"Pune|HP Petrol Pump, 209 DR Babasaheb Ambedkar Path, Mangalwar Peth, Pune 411011, India",Pune,100.0,place,18.52685,73.86466,IND,MH,411011
27,"Pune|Super Gas, Late Raghunath Dinaji Pawar Path, Rasta Peth, Pune 411011, India",Pune,100.0,place,18.5168,73.8665,IND,MH,411011
28,"Pune|Indian Oil Petrol Pump, DR Babasaheb Ambedkar Path, Pune Station, Pune 411001, India",Pune,100.0,place,18.52658,73.86559,IND,MH,411001
29,"Pune|Indian Oil, Revenue Colony, Shivaji Nagar, Pune 411005, India",Pune,100.0,place,18.52813,73.85026,IND,MH,411005
30,"Bengaluru|Shell, 506, Ashoka Nagar, Bengaluru 560001, India",Bengaluru,100.0,place,12.97132,77.59699,IND,KA,560001
31,"Bengaluru|Hindustan Petroleum, Kasturba Road, Ambedkar Veedhi, Sampangi Rama Nagar, Bengaluru 560001, India",Bengaluru,100.0,place,12.97577,77.59791,IND,KA,560001
32,"Bengaluru|Indian Oil, Lavelle Road, Ashoka Nagar, Bengaluru 560001, India",Bengaluru,100.0,place,12.96617,77.59533,IND,KA,560001
33,"Bengaluru|India Garage, Ashoka Nagar, Bengaluru 560001, India",Bengaluru,100.0,place,12.97624,77.59861,IND,KA,560001
34,"Bengaluru|HP Petrol Pump, Corporation Circle, Sampangi Rama Nagar, Bengaluru 560027, India",Bengaluru,100.0,place,12.9677,77.58842,IND,KA,560027
35,"Bengaluru|Indian Oil, Shivajinagar, Bengaluru 560001, India",Bengaluru,100.0,place,12.97498,77.60139,IND,KA,560001
36,"Bengaluru|Nrupathunga Service Station, Nrupathunga Road, Sampangi Rama Nagar, Bengaluru 560027, India",Bengaluru,100.0,place,12.97214,77.58666,IND,KA,560027
37,"Bengaluru|Bharat Petroleum Petrol Pump, Kengal Hanumanthaiah Road, Srinivas Colony, Sudhamanagar, Bengaluru 560027, India",Bengaluru,100.0,place,12.96198,77.59434,IND,KA,560027
38,"Bengaluru|Bharat Petroleum, Ashok Nagar, Bengaluru 560025, India",Bengaluru,100.0,place,12.97366,77.61388,IND,KA,560025
39,"Bengaluru|Hindustan Petroleum, Shivajinagar, Bengaluru 560001, India",Bengaluru,100.0,place,12.98209,77.59407,IND,KA,560001
40,"Chennai|Bharat Petroleum Petrol Pump, Periyar E. V. R. Road, Periamet, Chennai 600003, India",Chennai,100.0,place,13.08073,80.26666,IND,TN,600003
41,"Chennai|Hindustan Petroleum, Vepery, Chennai 600007, India",Chennai,100.0,place,13.08604,80.2646,IND,TN,600007
42,"Chennai|Hindustan Petroleum, Vepery, Chennai 600007, India",Chennai,100.0,place,13.08604,80.2646,IND,TN,600007
43,"Chennai|Indian Oil, Evening Bazar Road, Evening Bazaar, Park Town, Chennai 600003, India",Chennai,100.0,place,13.08349,80.27902,IND,TN,600003
44,"Chennai|Deeka Enterprises Petrol, Panthaon Road, Egmore, Chennai 600008, India",Chennai,100.0,place,13.07615,80.26483,IND,TN,600008
45,"Chennai|Check And Fill Indian Oil Agencies, Egmore, Chennai 600008, India",Chennai,100.0,place,13.07575,80.26424,IND,TN,600008
46,"Chennai|HP Petrol Pump, Kannappar Thidal, Periamet, Chennai 600003, India",Chennai,100.0,place,13.09209,80.26966,IND,TN,600003
